year,mnlegdist,legdist_n_kids_u5,legdist_n_fams_u5,state_n_kids_u5,state_n_fams_u5,hr_slots,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_hr_slots,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_hr_slots,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_hr_slots,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_hr_slots,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_hr_slots,p75_hr_slots,p50_hr_slots,p25_adj_supply_any,p75_adj_supply_any,p50_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p50_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p50_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p50_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p50_adj_supply_public,p25_totcost_any,p75_totcost_any,p50_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p50_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p50_totcost_hr,p25_totcost_public,p75_totcost_public,p50_totcost_public,p25_quality_premium,p75_quality_premium,p50_quality_premium,p25_access_index,p75_access_index,p50_access_index,p25_share_hr,p75_share_hr,p50_share_hr,N_mnlegdist,rank_hr_slots,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2012,10A,2216.7825,1613.1555,349261,259503,.052589156,.067012027,.61510235,.16830508,.39420813,0,.052589156,121.90434,159.73743,,26.229572,,.52898872,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,5.2339683e-10,.11088791,.0068658879,.36115029,.83162796,.65901917,.010997784,.19355269,.11326832,.22217113,.57896858,.41142625,0,0,0,5.2339683e-10,.11088791,.0068658879,113.19131,129.12112,122.46571,144.11459,151.61018,145.85205,,,,5.6944556,19.694485,12.055579,,,,.15115887,.90462804,.62620711,1.3867869e-09,.13886568,.01572291,134,33,36,73,36,67.5,33,46,31,41,2,,83,,64,27,9,57,36,7
2013,10A,2216.7825,1613.1555,349261,259503,.050151743,.060332201,.68940461,.20232399,.43692884,5.0973288e-17,.050151743,125.14074,148.64813,174.41809,14.538061,1.3131815,.31861034,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,1.6806764e-11,.10515232,.0032684105,.41062522,.96091169,.71009731,.039883684,.27306315,.13148624,.27669767,.61403173,.45642483,0,0,0,1.6806764e-11,.10515232,.0032684105,117.49583,132.06123,125.99762,145.64824,149.66959,147.7612,163.86118,185.55566,167.94452,5.8333449,20.361153,13.000027,1.2306755,1.3629067,1.2692193,.072422363,.57282925,.37829533,4.8483613e-11,.12263525,.0054461691,134,104,27,65,30,123,34,111,31,39,9,24,61,42,63,29,7,56,37,7
2014,10A,2216.7825,1613.1555,349261,259503,.10495461,.13674049,.72900438,.24529821,.39173403,.012982476,.091972128,119.67027,155.84698,147.97736,10.041348,1.0990044,.35128903,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,.010157079,.18623433,.11378839,.40786448,.98175937,.74277687,.04487535,.32087398,.16326423,.24927753,.54374886,.40816337,0,.021661296,.0077148816,.0069523957,.17422178,.086929165,110.93219,126.65127,116.27094,148.69449,158.08784,152.70041,132.09633,155.23274,140.97771,5.1388988,12.194473,7.5634694,.97450912,1.1404961,1.047787,-.012394239,.6691739,.43040535,.025688708,.19750322,.14264013,134,100,25,60,33,112,22,99,30,37,14,10,71,8,54,34,13,51,40,10
2015,10A,2216.7825,1613.1555,349261,259503,.14549671,.19062942,.69150496,.24063787,.35643363,.05106324,.094433464,122.65627,160.3399,146.19963,10.021194,1.0587175,.38377237,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,.018297352,.24810556,.15477213,.41903341,.93316764,.68302763,.045345575,.33248129,.17101021,.21731649,.48657143,.36086491,.000024162429,.099846564,.025172791,.0069523957,.17991827,.086929165,113.48183,128.61378,119.73218,154.39619,160.41898,156.30598,135.63892,154.92418,149.82022,4.9717298,12.194473,7.5000157,.98207295,1.1227612,1.0793681,-.11390069,.80788022,.49551907,.05044983,.31653535,.21148928,134,75,25,56,35,88,23,95,28,38,17,17,76,9,52,35,14,49,41,10
2016,10A,2216.7825,1613.1555,349261,259503,.11467914,.17651835,.58016193,.2149487,.28913125,.03859714,.076081999,124.88176,160.20392,148.8748,13.53225,1.0886697,.23592873,.17349893,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,6.7520856e-10,.30411661,.1917012,.51860923,.31794,.16105661,.15208855,.039612651,222.11203,277.70114,285.78854,8.1988544,1.3164439,-.22413506,.36608848,.15127282,.57802474,.13472164,.35581079,.063780524,.087492295,129.10641,214.31894,196.17691,19.508986,1.4347159,.2736828,.22844511,.15205732,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.12348117,.30563268,.014062325,.19937792,.11408617,.29240781,.82069165,.58968848,.021753227,.3393645,.15527029,.16276474,.38346514,.2773172,6.8211892e-07,.082252949,.018388497,.0069521908,.12917678,.077616729,118.5649,132.92216,124.49613,154.2951,160.00804,157.29207,143.67169,156.96599,148.21719,4.9617624,12.194473,7.3932261,1.0020705,1.1444713,1.0359341,-.15850987,.58154488,.2991522,.057196617,.26815653,.19819206,134,103,55,69,50,107,35,110,35,33,6,10,98,13,50,37,13,46,43,11
2017,10A,2216.7825,1613.1555,349261,259503,.22197492,.3009403,.63075125,.27398828,.27162144,.13683341,.085141517,126.33097,163.81223,160.43753,14.039731,1.1361918,.37736154,.20028403,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,3.0665989e-10,.34396562,.21748964,.53602523,.34291685,.14553605,.16980168,.047687959,220.6983,274.22,282.50162,8.1945629,1.2935365,-.21263325,.3981843,.17927492,.56416196,.14678609,.32003006,.08083225,.098442666,123.85667,257.38586,186.69583,26.766617,1.3283236,.2596384,.27776128,.17801599,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.12336726,.36346814,.027522091,.38565642,.19819747,.30521628,.88556945,.62227875,.047226023,.42907858,.20657389,.15163627,.36361876,.2656849,4.6072551e-06,.25437248,.065405034,.0069522918,.15624677,.080033295,118.12666,134.46286,124.52483,154.9595,161.74295,157.92688,151.47366,158.56332,153.50003,4.9717298,12.194473,7.4906373,1.0525547,1.1640801,1.0866008,-.19368605,.90373743,.39975631,.10344939,.50146288,.32348448,134,51,38,54,45,55,41,88,20,40,2,18,98,26,43,43,13,41,46,13
2018,10A,2216.7825,1613.1555,349261,259503,.23172668,.3218472,.62027705,.25651899,.26032338,.12829201,.10343466,127.90571,172.01437,158.33742,9.9647484,1.0787916,.48834825,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,.029023491,.40053511,.21217074,.3069123,.86423916,.62520701,.039799251,.41274017,.18483861,.14691839,.34246457,.24804531,3.4842649e-06,.23967606,.0614985,.011241485,.17731015,.11938301,118.17002,135.71935,125.55025,162.41634,174.71144,166.52592,155.67838,160.28073,157.05482,4.9617624,12.097638,7.6377268,1.0206255,1.1439335,1.0488434,-.099296831,1.0354018,.54248136,.13050331,.52075088,.345768,134,32,36,54,43,61,24,74,15,35,6,26,85,21,42,41,17,41,47,12
2019,10A,2216.7825,1613.1555,349261,259503,.31654754,.42002493,.66907144,.31672204,.23863062,.20282879,.11371876,124.97927,165.31381,156.30983,9.2333469,1.0845364,.53794646,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,.039010674,.54251856,.27432686,.3266772,.91192979,.63664854,.054024719,.4773007,.22347742,.12634507,.31082374,.22992782,.013998589,.36128843,.13927358,.011218611,.18291755,.13617109,115.01353,133.00406,122.79232,157.62207,165.86542,159.8929,153.1667,159.25006,154.2075,5.1606474,11.305149,7.4073248,1.0290344,1.1563145,1.0612133,-.069794483,1.076786,.50385201,.23873082,.62695861,.47571355,134,19,34,45,49,28,30,48,10,33,14,30,9,31,36,47,17,37,48,14
2020,10A,2216.7825,1613.1555,349261,259503,.34432206,.48516157,.64731145,.30432364,.21796224,.21929649,.12502559,131.90013,165.59106,155.47769,60.513897,1.0789738,.51604921,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,.08397802,.58520031,.30766329,.31725755,.94444633,.62399268,.057657864,.4753218,.24369682,.10697722,.29683736,.19956347,.030267416,.38175625,.16622584,.014999973,.1956002,.1453612,122.62759,141.53419,131.04019,157.86308,166.30579,160.4003,153.0988,158.89751,154.47652,20.514246,86.385666,44.657127,1.0266951,1.125991,1.0691164,-.11193877,1.1582603,.47373328,.24932222,.73181587,.56948251,134,18,42,52,53,28,34,38,13,37,12,24,37,21,34,47,19,35,48,16
2012,10B,2159.418,1649.4128,349261,259503,.042394925,.07934875,.41387895,.069168702,.30231532,0,.042394925,118.06277,287.18381,,103.7262,,.29569882,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,0,1.0174005e-06,0,.000018079387,.69847339,.25802967,0,.026475796,0,7.4172033e-07,.53523815,.12717141,0,0,0,0,1.0174005e-06,0,107.12222,135.12334,124.80094,150.52316,389.36157,246.48631,,,,17.4167,200.5004,77.152931,,,,-.33280712,.78003848,.10699248,0,.00059074978,0,134,46,111,120,62,67.5,46,37,51,36,121,,124,,73,17,10,57,36,7
