year,mnsendist,sendist_n_kids_u5,sendist_n_fams_u5,state_n_kids_u5,state_n_fams_u5,hr_slots,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_hr_slots,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_hr_slots,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_hr_slots,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_hr_slots,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_hr_slots,p75_hr_slots,p50_hr_slots,p25_adj_supply_any,p75_adj_supply_any,p50_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p50_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p50_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p50_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p50_adj_supply_public,p25_totcost_any,p75_totcost_any,p50_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p50_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p50_totcost_hr,p25_totcost_public,p75_totcost_public,p50_totcost_public,p25_quality_premium,p75_quality_premium,p50_quality_premium,p25_access_index,p75_access_index,p50_access_index,p25_share_hr,p75_share_hr,p50_share_hr,N_mnsendist,rank_hr_slots,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2012,1,4977.2671,3699.428,349261,259503,.12487598,.1111799,.70646924,.066910632,.51468259,0,.12487598,98.719177,520.20691,,113.86369,,.87821668,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,0,.1680301,.012776747,.095160201,1.0252829,.72449744,0,.11964621,0,.076131962,.77418602,.50236654,0,0,0,0,.1680301,.012776747,83.042099,110.7634,100.42215,131.26828,970.4209,414.14777,,,,5.3472328,62.472347,11.430578,,,,.074281871,1.3004856,1.0173756,0,.23466539,.024675423,67,7,6,61,5,34,7,10,4,5,67,,65,,73,9,18,57,36,7
2013,1,4977.2671,3699.428,349261,259503,.1365719,.12155394,.72762626,.066782795,.53596753,.011695919,.12487598,102.12201,187.88254,238.45377,20.980902,2.1466773,.57186168,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,0,.1715837,.016148577,.11803558,1.0262825,.74902654,0,.11970139,0,.11460757,.78401017,.51034975,0,1.6332448e-36,0,0,.1680301,.012776747,85.94873,116.29562,103.61156,132.01691,229.6629,161.99593,137.58336,309.22629,227.44833,5.3472328,30.708395,11.430578,1.1061225,2.7943153,1.8849416,.0028285484,.82598138,.60195124,0,.25552827,.026466511,67,21,9,64,5,53,8,44,4,4,22,25,48,65,74,9,17,56,37,7
2014,1,4977.2671,3699.428,349261,259503,.1791645,.16264622,.76558983,.095513001,.52580136,.034889087,.14427541,99.552742,165.76132,170.67557,15.98784,1.505011,.59387672,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,2.1975037e-22,.25646299,.031740673,.099710129,1.1297741,.80774534,0,.15030348,6.3202509e-13,.070615739,.77017868,.5197432,0,.012379693,0,6.3711796e-23,.17158327,.030850757,85.982544,113.70998,100.60283,126.01697,196.12503,162.20544,113.84543,208.47836,160.47235,3.9766679,24.930607,8.4305725,.92620891,1.8648927,1.3834631,-.094613552,.930327,.50019681,3.0261787e-19,.30665076,.041143615,67,20,8,57,5,52,6,47,5,5,12,9,60,52,69,12,19,51,40,10
2015,1,4977.2671,3699.428,349261,259503,.16908854,.15177731,.75477672,.098614477,.51789027,.030816562,.13827197,103.50881,197.58244,175.92896,16.170919,1.5112414,.59263748,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,2.1198874e-24,.21639752,.038823552,.068018705,1.1117492,.77565759,0,.183925,0,.046973377,.74082053,.50198245,0,.0043576397,0,2.0868235e-24,.1653443,.03811051,88.586807,116.58538,107.851,135.02167,230.16687,181.06955,134.23613,209.66689,168.65289,4.0000081,25.362719,7.6684856,1.0513985,1.7887772,1.4321165,-.23090556,.88917911,.50745654,4.2446232e-21,.27039257,.058595158,67,27,5,56,3,56,6,57,6,9,21,18,63,61,69,13,18,49,41,10
2016,1,4977.2671,3699.428,349261,259503,.0889282,.24378546,.2292347,.033421416,.13515724,.028272159,.060656037,78.224701,558.37573,385.48663,145.49149,5.5836973,.31825405,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,0,.07391011,.00014443655,6.2824164e-08,.28069639,.16528112,0,8.4994155e-38,0,9.6332888e-16,.16413169,.11419474,0,.015671115,0,0,9.5670472e-08,0,43.737183,105.85387,71.346375,178.21181,921.52625,487.30115,112.42758,972.12366,157.35121,18.416702,97.125198,52.652885,1.0982329,4.8198853,1.6319883,.079705089,.38017625,.24967971,0,.39507723,.15819536,67,37,51,63,17,48,4,41,7,11,67,67,67,65,59,15,26,36,55,9
2017,1,4977.2671,3699.428,349261,259503,.17872863,.23373386,.55268812,.11767592,.3180384,.061754804,.11697382,119.47635,523.90295,146.88022,108.15446,1.2010835,.41510373,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,1.5361526e-21,.22511633,.049058985,.00042762799,.80243587,.55440497,0,.21996966,0,.000013489085,.51132399,.30032197,0,.083576694,1.6584016e-09,0,.096534252,5.1389270e-07,86.388496,136.87602,116.30727,147.37016,1008.6454,314.6947,117.09775,146.49808,131.19449,4.9544058,265.8598,17.812866,.95494944,1.1495,1.0238277,-.11197945,.71158433,.34833053,7.0048239e-10,.44117638,.08566086,67,27,10,50,5,52,6,54,6,15,67,4,67,13,58,21,21,41,48,11
2018,1,4977.2671,3699.428,349261,259503,.17522539,.18412873,.64702386,.067434326,.43060544,.026241273,.14898412,108.72645,225.54091,127.31319,22.787409,.99401122,.50418174,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,2.6561393e-30,.23563515,.049029473,.051867586,.96247768,.63519096,0,.12852569,0,.037208993,.66940969,.42406726,0,.036763649,.00016364141,0,.19760005,.022349659,94.241089,126.59136,110.34468,161.62769,269.86249,213.12375,120.73346,133.58334,129.51852,5.6527891,33.638954,10.222242,.94025993,1.0478188,.9923209,-.269584,.70202708,.43869257,3.0347047e-23,.36461431,.060173735,67,36,13,63,3,65,5,59,4,5,21,1,67,3,67,10,23,41,47,12
2019,1,4977.2671,3699.428,349261,259503,.22768143,.21360733,.73355353,.081647083,.45172071,.027495703,.20018573,108.3765,170.63466,127.6593,20.145931,.98371291,.54239142,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,4.2493175e-17,.24221715,.11111958,.089324482,1.0574589,.67934489,0,.14832464,1.0854296e-31,.035044529,.68741465,.41002691,0,.035854544,6.7529595e-07,3.1394681e-17,.20052795,.099299461,90.152916,125.83661,110.84053,150.08488,195.93561,156.98567,124.14598,131.16116,128.11111,3.9166744,26.111164,8.8050737,.92253554,1.0184742,.97399259,-.34765273,.7281037,.48997805,2.7601463e-06,.37411967,.12995191,67,27,8,61,3,63,5,58,4,6,8,4,23,3,62,11,27,37,48,14
2020,1,4977.2671,3699.428,349261,259503,.22902338,.24725668,.68495417,.074129544,.41667801,.034876749,.19414662,108.86551,179.52373,128.08466,35.957054,.99869758,.49113435,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,3.3999659e-13,.25436604,.16007075,.06338802,1.0044005,.70794761,0,.11869289,3.1736841e-24,.030980906,.63021827,.40852803,0,.040972803,.0098357163,3.3853749e-15,.20506531,.12169091,90.397919,127.03025,111.88776,151.24944,199.96848,178.00092,121.88497,135.7114,130.12343,3.9168611,47.190609,10.001111,.9288165,1.0357895,.99401951,-.33107477,.75415695,.45924336,.0002273143,.38470054,.21398917,67,37,11,64,3,64,6,58,7,5,10,2,7,3,61,11,28,35,48,16
2021,1,4977.2671,3699.428,349261,259503,.23507802,.27088508,.64178497,.077567168,.38115934,.052019544,.18305849,112.87999,182.84978,137.00314,11.254455,.99608189,.40803012,.25498864,.58233821,.30032423,.19155487,.16452955,.090459101,200.82707,275.34302,272.51553,8.8873844,1.261619,9.2420166e-10,.4128885,.27336735,.57948226,.39852765,.11708596,.20949866,.063868679,251.81323,316.85901,323.74631,7.80584,1.2729286,-.20208576,.46881911,.23254494,.5858258,.18040022,.28249481,.10961416,.12293078,138.5638,213.12578,198.2066,10.293574,1.2451237,.24678306,.34458718,.2208669,.53308749,.25042906,.12387804,.13743189,.057669424,204.30151,297.31744,303.00916,7.2924871,1.2356136,-.12613159,.42891139,1.6141737e-15,.26944253,.13981672,.010369929,.92746592,.62069833,0,.12374397,1.0330750e-18,.00085485203,.53345788,.36105397,0,.05243291,.014412692,6.1382852e-21,.18321826,.098612793,97.060143,131.75446,117.68016,167.53839,204.83339,176.18956,128.80833,145.91475,133.52501,4.5955229,16.702812,7.2369623,.89847594,1.0426159,.98158282,-.32784298,.65492725,.31961372,3.1148872e-06,.37035674,.21335018,67,37,19,65,4,61,6,55,9,7,8,1,57,3,59,12,29,33,52,16
